
 MIDACO 6.0    (www.midaco-solver.com)
 -------------------------------------

 LICENSE-KEY:  MIDACO_LIMITED_VERSION___[CREATIVE_COMMONS_BY-NC-ND_LICENSE]

 ----------------------------------------
 | OBJECTIVES    2 | PARALLEL         1 |
 |--------------------------------------|
 | N             4 | MAXEVAL    1000000 |
 | NI            0 | MAXTIME     172800 |
 | M             0 | PRINTEVAL     1000 |
 | ME            0 | SAVE2FILE        1 |
 |--------------------------------------|
 | PARAM(10)  0.1000000E+04 PARETOMAX   |
 | PARAM(12)  0.1000000E+01 BALANCE     |
 ----------------------------------------


 [     EVAL,    TIME]   MULTI-OBJECTIVE PROGRESS   VIOLATION OF G(X)
 -------------------------------------------------------------------   [PARETO]
 [   172000, 2900.41]   PRO:          0.26590103   VIO:     0.000000   [    33]
 [   173000, 2917.23]   PRO:          0.26590103   VIO:     0.000000   [    33]
 [   174000, 2934.11]   PRO:          0.26590103   VIO:     0.000000   [    33]
 [   175000, 2950.98]   PRO:          0.26590103   VIO:     0.000000   [    33]
 [   176000, 2967.80]   PRO:          0.26590103   VIO:     0.000000   [    30]
 [   177000, 2985.60]   PRO:          0.26590103   VIO:     0.000000   [    30]
 [   178000, 3003.75]   PRO:          0.26590103   VIO:     0.000000   [    30]
 [   179000, 3021.74]   PRO:          0.26590103   VIO:     0.000000   [    30]
 [   180000, 3039.70]   PRO:          0.26590103   VIO:     0.000000   [    30]
 [   181000, 3057.70]   PRO:          0.26590103   VIO:     0.000000   [    30]
 [   182000, 3075.68]   PRO:          0.26590103   VIO:     0.000000   [    30]
 [   183000, 3093.67]   PRO:          0.26590103   VIO:     0.000000   [    30]
 [   184000, 3110.10]   PRO:          0.26590103   VIO:     0.000000   [    36]
 [   185000, 3125.66]   PRO:          0.26590103   VIO:     0.000000   [    35]
 [   186000, 3141.18]   PRO:          0.26590103   VIO:     0.000000   [    35]
 [   187000, 3156.67]   PRO:          0.26590103   VIO:     0.000000   [    35]
 [   188000, 3172.20]   PRO:          0.26590103   VIO:     0.000000   [    35]
 [   189000, 3187.73]   PRO:          0.26590103   VIO:     0.000000   [    35]
 [   190000, 3203.27]   PRO:          0.26590103   VIO:     0.000000   [    35]
 [   191000, 3218.79]   PRO:          0.26590103   VIO:     0.000000   [    35]
 [   192000, 3234.30]   PRO:          0.26590103   VIO:     0.000000   [    35]
 [   193000, 3249.83]   PRO:          0.26590103   VIO:     0.000000   [    35]
 [   194000, 3265.27]   PRO:          0.26590103   VIO:     0.000000   [    35]
 [   195000, 3280.72]   PRO:          0.26590103   VIO:     0.000000   [    35]
 [   196000, 3297.24]   PRO:          0.26590103   VIO:     0.000000   [    27]
 [   197000, 3314.08]   PRO:          0.26590103   VIO:     0.000000   [    27]
 [   198000, 3330.89]   PRO:          0.26590103   VIO:     0.000000   [    27]
 [   199000, 3347.74]   PRO:          0.26590103   VIO:     0.000000   [    27]
 [   200000, 3364.56]   PRO:          0.26590103   VIO:     0.000000   [    27]
 [   201000, 3381.37]   PRO:          0.26590103   VIO:     0.000000   [    27]
 [   202000, 3398.17]   PRO:          0.26590103   VIO:     0.000000   [    27]
 [   203000, 3415.26]   PRO:          0.26590103   VIO:     0.000000   [    30]
 [   204000, 3432.14]   PRO:          0.26590103   VIO:     0.000000   [    30]
 [   205000, 3448.99]   PRO:          0.26590103   VIO:     0.000000   [    30]
 [   206000, 3465.84]   PRO:          0.26590103   VIO:     0.000000   [    30]
 [   207000, 3482.68]   PRO:          0.26590103   VIO:     0.000000   [    32]
 [   208000, 3499.52]   PRO:          0.26590103   VIO:     0.000000   [    32]
 [   209000, 3516.39]   PRO:          0.26590103   VIO:     0.000000   [    32]
 [   210000, 3533.25]   PRO:          0.26590103   VIO:     0.000000   [    32]
 [   211000, 3550.10]   PRO:          0.26590103   VIO:     0.000000   [    32]
 [   212000, 3566.95]   PRO:          0.26590103   VIO:     0.000000   [    32]
 [   213000, 3583.85]   PRO:          0.26590103   VIO:     0.000000   [    34]
